product_id,name,category,price,currency,stock_status,min_shipping_days,max_shipping_days,short_description,full_description,brand,size,colors,launch_year,sku,shipping_cost,shipping_regions,returns_policy,warranty_policy,specs,variants,source
ROP-001,Abrigo Largo Lana Nórdica,Outerwear,289900.0,COP,in_stock,2,5,Abrigo largo de lana sintética con corte elegante y caída recta.,"Abrigo para clima frío con silueta recta, cuello amplio y acabado suave al tacto. Ideal para looks formales o urbanos. Combina con jeans, pantalones sastre y botas. Pensado para uso diario en temporadas frías y entretiempo.",Lunaria Studio,,,,,18000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Material exterior tipo lana, cierre frontal, bolsillos laterales, forro interno ligero.","Tallas: S, M, L | Colores: Camel, Negro, Gris",Catalogo empresa moda otoño
ROP-002,Saco Tejido Andino,Knitwear,149900.0,COP,in_stock,2,5,Saco tejido de punto medio con textura suave y ajuste cómodo.,Prenda cálida de estilo casual elaborada en tejido de punto con diseño versátil. Aporta confort para jornadas largas y combina fácilmente con jeans o faldas. Recomendado para climas frescos y outfits relajados.,Lunaria Studio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tejido medio, cuello redondo, puños acanalados, ajuste regular.","Tallas: S, M, L, XL | Colores: Beige, Vino, Azul Marino",Catalogo empresa moda otoño
ROP-003,Suéter Cuello Tortuga Oslo,Knitwear,139900.0,COP,in_stock,2,5,Suéter cuello tortuga con tacto suave y diseño minimalista.,"Suéter de inspiración nórdica con cuello alto y tejido confortable, pensado para climas fríos. Brinda abrigo sin perder elegancia y funciona muy bien en estilismos monocromáticos, casuales o de oficina.",Nube Atelier,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Cuello tortuga, tejido fino, manga larga, ajuste semientallado.","Tallas: S, M, L | Colores: Marfil, Negro, Verde Oliva",Catalogo empresa moda invierno
ROP-004,Camisa Oxford Blanca Essential,Shirts,119900.0,COP,in_stock,2,4,Camisa oxford blanca de corte clásico para uso formal o casual.,"Camisa confeccionada en tela oxford de aspecto limpio y resistente. Ideal para oficina, reuniones o looks casuales pulidos. Su diseño atemporal permite combinarla con denim, pantalón chino o prendas sastre.",Nube Atelier,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela oxford, botones frontales, cuello clásico, ajuste regular.","Tallas: S, M, L, XL | Colores: Blanco, Azul Cielo",Catalogo empresa esenciales
ROP-005,Camisa Rayas Porto,Shirts,124900.0,COP,in_stock,2,4,Camisa de rayas finas con estilo contemporáneo y caída ligera.,"Camisa versátil con patrón de rayas verticales que estiliza visualmente la silueta. Ideal para oficina, salidas o combinaciones con prendas neutras. Su tela fresca aporta comodidad durante todo el día.",Nube Atelier,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela ligera, cuello clásico, rayas verticales, botón frontal.","Tallas: S, M, L | Colores: Blanco/Azul, Blanco/Rosa",Catalogo empresa esenciales
ROP-006,Blusa Satín Perla,Blouses,109900.0,COP,in_stock,2,4,Blusa en acabado satinado con brillo suave y tacto fluido.,"Blusa elegante para ocasiones especiales, oficina o cenas. Su acabado satinado le da un aspecto refinado sin perder ligereza. Puede usarse por dentro de pantalones sastre o con faldas midi para un look sofisticado.",Maison Lirio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela satinada, cuello redondo, manga corta, caída fluida.","Tallas: S, M, L | Colores: Perla, Champaña, Negro",Catalogo empresa elegante
ROP-007,Blusa Manga Globo Verona,Blouses,114900.0,COP,in_stock,2,4,Blusa femenina con mangas globo y diseño romántico.,Prenda con volumen en mangas que aporta un toque moderno y delicado. Ideal para elevar looks sencillos y combinar con jeans de tiro alto o faldas. Su construcción busca equilibrio entre comodidad y presencia visual.,Maison Lirio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Mangas globo, puño elástico, tela suave, ajuste cómodo.","Tallas: S, M, L | Colores: Lavanda, Blanco, Rosa Palo",Catalogo empresa elegante
ROP-008,Camiseta Básica Algodón Aura,T-Shirts,59900.0,COP,in_stock,2,4,Camiseta básica de algodón con ajuste regular y tacto suave.,"Prenda esencial del guardarropa, pensada para uso diario y máxima versatilidad. Su construcción en algodón brinda comodidad, transpirabilidad y fácil combinación con jeans, shorts o capas superiores.",Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Algodón suave, cuello redondo, manga corta, costuras reforzadas.","Tallas: S, M, L, XL | Colores: Blanco, Negro, Arena",Catalogo empresa básicos
ROP-009,Camiseta Oversize Eclipse,T-Shirts,69900.0,COP,in_stock,2,4,Camiseta oversize de inspiración urbana con caída amplia.,"Modelo relajado para quienes buscan una silueta moderna y cómoda. Funciona bien en looks streetwear y casuales. Puede combinarse con joggers, jeans amplios o shorts para un estilo desenfadado.",Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Corte oversize, hombro caído, algodón peinado, cuello rib.","Tallas: M, L, XL | Colores: Negro, Gris Acero, Blanco",Catalogo empresa básicos
ROP-010,Jean Recto Azul Central,Jeans,159900.0,COP,in_stock,2,5,Jean recto clásico en lavado azul medio para uso diario.,"Denim de estilo atemporal con tiro medio y pierna recta. Diseñado para acompañar rutinas urbanas y looks casuales. Ofrece equilibrio entre estructura, movilidad y facilidad para combinar con prendas superiores variadas.",Denim Republic,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Denim medio, tiro medio, cinco bolsillos, cierre metálico.","Tallas: 6, 8, 10, 12, 14 | Colores: Azul Medio",Catalogo empresa denim
ROP-011,Jean Mom Fit Sierra,Jeans,164900.0,COP,in_stock,2,5,Jean mom fit de tiro alto con ajuste cómodo en cadera.,"Prenda de inspiración vintage con cintura alta y silueta relajada. Favorece múltiples tipos de cuerpo y combina muy bien con camisetas ajustadas, tops o suéteres. Ideal para un estilo casual con tendencia.",Denim Republic,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tiro alto, denim rígido cómodo, lavado claro, pernera relajada.","Tallas: 6, 8, 10, 12 | Colores: Azul Claro, Gris",Catalogo empresa denim
ROP-012,Pantalón Sastre Mónaco,Trousers,169900.0,COP,in_stock,2,5,Pantalón sastre de corte limpio y silueta estilizada.,"Diseñado para oficina, reuniones y outfits smart casual. Su estructura permite una caída elegante y una apariencia profesional. Se puede combinar con blusas, camisas o blazers para un look refinado.",Maison Lirio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela sastre, pretina estructurada, bota recta, cierre frontal.","Tallas: 6, 8, 10, 12 | Colores: Negro, Beige, Azul Noche",Catalogo empresa elegante
ROP-013,Pantalón Palazzo Brisa,Trousers,154900.0,COP,in_stock,2,5,Pantalón palazzo de caída amplia y movimiento ligero.,"Modelo femenino y cómodo que estiliza visualmente la figura gracias a su corte largo y fluido. Ideal para climas templados y para combinar con tops cortos, blusas elegantes o sandalias.",Maison Lirio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Pierna ancha, pretina media, tela fluida, bolsillos laterales.","Tallas: S, M, L | Colores: Marfil, Terracota, Negro",Catalogo empresa elegante
ROP-014,Falda Midi Plisada Siena,Skirts,129900.0,COP,in_stock,2,4,Falda midi plisada con movimiento suave y acabado delicado.,"Falda versátil de largo medio que aporta elegancia sin perder comodidad. Ideal para eventos, oficina o salidas casuales elevadas. Sus pliegues generan dinamismo y una silueta femenina equilibrada.",Maison Lirio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Largo midi, plisado fino, cintura cómoda, tela ligera.","Tallas: S, M, L | Colores: Rosa Palo, Negro, Verde Salvia",Catalogo empresa elegante
ROP-015,Falda Denim Urban Blue,Skirts,119900.0,COP,in_stock,2,4,Falda de denim con diseño urbano y lavado azul clásico.,"Prenda casual ideal para looks frescos y juveniles. Su construcción en denim le da durabilidad y estilo, permitiendo combinarla con camisetas básicas, tops y tenis para un outfit relajado.",Denim Republic,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Denim firme, bolsillos funcionales, cierre frontal, largo corto.","Tallas: 6, 8, 10, 12 | Colores: Azul Medio",Catalogo empresa denim
ROP-016,Vestido Floral Primavera,Dresses,179900.0,COP,in_stock,2,5,Vestido estampado floral con silueta fresca y femenina.,"Vestido ideal para clima cálido, brunch, salidas o eventos casuales. Su estampado floral aporta un aire alegre y romántico. Diseñado para ofrecer movimiento, ligereza y una apariencia delicada.",Flor & Tela,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela ligera, estampado floral, escote suave, falda con vuelo.","Tallas: S, M, L | Colores: Fondo Blanco, Fondo Azul",Catalogo empresa primavera
ROP-017,Vestido Negro Nocturne,Dresses,189900.0,COP,in_stock,2,5,Vestido negro elegante de corte limpio para ocasiones especiales.,"Prenda pensada para cenas, eventos nocturnos o estilismos minimalistas. Su color neutro y silueta refinada lo convierten en una opción versátil y atemporal que puede elevarse con accesorios.",Flor & Tela,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Color negro sólido, largo medio, tela suave, ajuste favorecedor.","Tallas: S, M, L | Colores: Negro",Catalogo empresa noche
ROP-018,Jogger Cargo Urbano,Pants,119900.0,COP,in_stock,2,5,Jogger cargo de estilo urbano con bolsillos funcionales.,"Diseñado para un look casual utilitario, combina comodidad y funcionalidad. Ideal para rutinas diarias, viajes o atuendos relajados. Su silueta moderna lo hace fácil de combinar con camisetas y sudaderas.",Street Loom,,,,,14000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Pretina elástica, bolsillos cargo, bota ajustada, tela resistente.","Tallas: S, M, L, XL | Colores: Negro, Verde Militar, Arena",Catalogo empresa urbano
ROP-019,Leggings Active Flex,Sportswear,99900.0,COP,in_stock,2,4,Leggings deportivos de compresión ligera y alta elasticidad.,"Prenda pensada para entrenamiento, caminatas o uso deportivo casual. Ofrece ajuste cómodo, soporte ligero y libertad de movimiento. Puede combinarse con tops, camisetas o sudaderas deportivas.",Move Studio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela elástica, cintura alta, secado rápido, compresión ligera.","Tallas: S, M, L | Colores: Negro, Azul Marino, Ciruela",Catalogo empresa activewear
ROP-020,Top Deportivo Pulse,Sportswear,74900.0,COP,in_stock,2,4,Top deportivo de soporte medio para actividad ligera o moderada.,"Top diseñado para ofrecer comodidad y estabilidad durante entrenamiento funcional, yoga o cardio moderado. Su estructura favorece el movimiento y mantiene un look atlético moderno.",Move Studio,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Soporte medio, tirantes anchos, tela transpirable, secado rápido.","Tallas: S, M, L | Colores: Negro, Lavanda, Blanco",Catalogo empresa activewear
ROP-021,Sudadera Hoodie Nebula,Sweatshirts,149900.0,COP,in_stock,2,5,Hoodie suave con bolsillo frontal y capucha ajustable.,"Sudadera ideal para clima fresco y looks casuales urbanos. Su diseño cómodo, con capucha y bolsillo canguro, la hace perfecta para uso diario, viajes o fines de semana relajados.",Street Loom,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Felpa interna suave, capucha con cordón, bolsillo frontal, puños rib.","Tallas: S, M, L, XL | Colores: Gris, Negro, Azul Petróleo",Catalogo empresa urbano
ROP-022,Cardigan Largo Serena,Knitwear,159900.0,COP,in_stock,2,5,Cardigan largo de tejido suave para capas elegantes.,"Prenda perfecta para complementar outfits de entretiempo. Su largo favorece una apariencia sofisticada y relajada al mismo tiempo. Funciona muy bien con vestidos, jeans o pantalones rectos.",Lunaria Studio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tejido suave, largo medio-alto, bolsillos laterales, sin cierre.","Tallas: S, M, L | Colores: Beige, Gris Humo, Vainilla",Catalogo empresa otoño
ROP-023,Blazer Estructurado Capital,Blazers,219900.0,COP,in_stock,2,5,Blazer estructurado con hombro definido y acabado profesional.,"Diseñado para elevar looks de oficina y ocasiones semiformales. Aporta una silueta pulida y moderna, ideal para combinar con pantalones sastre, jeans oscuros o vestidos simples.",Maison Lirio,,,,,18000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Solapas clásicas, forro ligero, cierre frontal, corte estructurado.","Tallas: S, M, L | Colores: Negro, Beige, Azul Profundo",Catalogo empresa formal
ROP-024,Trench Coat Londres,Outerwear,259900.0,COP,in_stock,2,5,Trench coat clásico con cinturón y estilo atemporal.,Prenda icónica para climas templados y estilismos sofisticados. Su diseño largo con cinturón estiliza la figura y permite usarlo tanto sobre ropa formal como casual.,Lunaria Studio,,,,,18000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Cinturón ajustable, solapas amplias, largo medio, tela resistente.","Tallas: S, M, L | Colores: Camel, Beige Arena",Catalogo empresa trench
ROP-025,Camisa de Lino Costa,Shirts,134900.0,COP,in_stock,2,4,Camisa de lino fresca y ligera para clima cálido.,"Prenda transpirable, cómoda y de apariencia natural, ideal para días calurosos o estilismos resort. Se puede llevar abierta sobre top o cerrada para un look relajado y elegante.",Nube Atelier,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Lino ligero, manga larga, botones frontales, caída relajada.","Tallas: S, M, L, XL | Colores: Blanco, Arena, Azul Cielo",Catalogo empresa resort
ROP-026,Polo Tejido Riviera,Polos,89900.0,COP,in_stock,2,4,Polo de tejido fino con acabado limpio y estilo casual pulido.,"Prenda versátil para un look relajado pero bien presentado. Puede usarse sola o bajo chaquetas ligeras. Ideal para reuniones informales, oficina casual o salidas de fin de semana.",Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tejido fino, cuello polo, manga corta, ajuste regular.","Tallas: S, M, L, XL | Colores: Azul Marino, Blanco, Verde Musgo",Catalogo empresa básicos
ROP-027,Saco Cuello V Siena,Knitwear,129900.0,COP,in_stock,2,5,Saco cuello en V con diseño limpio y tacto suave.,"Prenda de punto pensada para combinar con camisas, tops o camisetas básicas. Su escote en V le da una apariencia estilizada y funcional tanto para oficina como para uso diario.",Lunaria Studio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Punto suave, cuello V, manga larga, puños acanalados.","Tallas: S, M, L | Colores: Marfil, Gris, Negro",Catalogo empresa tejidos
ROP-028,Chaqueta Biker Eclipse,Outerwear,229900.0,COP,in_stock,2,5,Chaqueta biker con diseño moderno y acabado tipo cuero.,"Prenda con carácter para elevar outfits urbanos y nocturnos. Su inspiración biker aporta fuerza visual y combina muy bien con jeans, vestidos o pantalones ajustados.",Street Loom,,,,,18000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Acabado tipo cuero, cierres metálicos, bolsillos laterales, corte corto.","Tallas: S, M, L | Colores: Negro, Borgoña",Catalogo empresa urbano
ROP-029,Camiseta Cuello Alto Minimal,T-Shirts,74900.0,COP,in_stock,2,4,Camiseta de cuello alto con estética minimalista y moderna.,Modelo versátil para looks sobrios y contemporáneos. Funciona muy bien como pieza base para capas o como protagonista en outfits monocromáticos. Ofrece comodidad y una imagen pulida.,Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Cuello alto suave, manga corta, algodón elástico, ajuste regular.","Tallas: S, M, L | Colores: Negro, Blanco, Taupe",Catalogo empresa básicos
ROP-030,Saco Cropped Boreal,Knitwear,119900.0,COP,in_stock,2,5,Saco cropped de tejido suave con proporción moderna.,Prenda de tendencia ideal para combinar con pantalones o faldas de tiro alto. Su largo corto y textura agradable lo convierten en una opción atractiva para looks juveniles y actuales.,Lunaria Studio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tejido suave, largo cropped, manga larga, puños rib.","Tallas: S, M, L | Colores: Lila, Marfil, Negro",Catalogo empresa temporada
